date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-16,TOR@IND,Myisha Hines-Allen,bench,OVER,5.0,6.3,0.0,1.3,MISS
2026-06-16,TOR@IND,Damiris Dantas,bench,OVER,5.0,6.0,4.0,1.0,MISS
2026-06-16,TOR@IND,Raven Johnson,bench,OVER,4.0,5.0,6.0,1.0,HIT
2026-06-16,TOR@IND,Grace VanSlooten,bench,OVER,4.0,4.6,0.0,0.6,MISS
2026-06-16,TOR@IND,Makayla Timpson,bench,OVER,3.0,4.4,2.0,1.4,MISS
2026-06-23,CHI@CON,Skylar Diggins,starters,OVER,8.0,9.7,3.0,1.7,MISS
2026-06-23,CHI@CON,Kamilla Cardoso,starters,OVER,7.0,8.1,16.0,1.1,HIT
2026-06-23,CHI@CON,Natasha Cloud,starters,OVER,5.0,6.8,4.0,1.8,MISS
2026-06-23,CHI@CON,Gabriela Jaquez,starters,OVER,6.0,7.5,5.0,1.5,MISS
2026-06-23,CHI@CON,Elizabeth Williams,starters,OVER,5.0,6.7,2.0,1.7,MISS
2026-06-23,CHI@CON,Azura Stevens,bench,OVER,6.0,7.2,11.0,1.2,HIT
2026-06-23,CHI@CON,Jacy Sheldon,bench,OVER,5.0,5.8,6.0,0.8,HIT
2026-06-23,CHI@CON,Sydney Taylor,bench,OVER,6.0,7.7,10.0,1.7,HIT
2026-06-23,CHI@CON,Rachel Banham,bench,OVER,4.0,5.6,3.0,1.6,MISS
2026-06-23,CHI@CON,Maddy Westbeld,bench,OVER,4.0,4.9,3.0,0.9,MISS
2026-06-23,CHI@CON,Saylor Poffenbarger,bench,OVER,2.0,3.3,0.0,1.3,MISS
2026-06-23,CHI@CON,Brittney Griner,starters,OVER,8.0,9.9,14.0,1.9,HIT
2026-06-23,CHI@CON,Leila Lacan,starters,OVER,6.0,7.5,12.0,1.5,HIT
2026-06-23,CHI@CON,Saniya Rivers,starters,OVER,5.0,6.6,4.0,1.6,MISS
2026-06-23,CHI@CON,Aneesah Morrow,starters,OVER,5.0,6.7,1.0,1.7,MISS
2026-06-23,CHI@CON,Charlisse Leger-Walker,starters,OVER,5.0,5.8,13.0,0.8,HIT
2026-06-23,CHI@CON,Aaliyah Edwards,bench,OVER,5.0,6.0,11.0,1.0,HIT
2026-06-23,CHI@CON,Diamond Miller,bench,OVER,5.0,6.0,9.0,1.0,HIT
2026-06-23,CHI@CON,Olivia Nelson-Ododa,bench,OVER,4.0,5.4,11.0,1.4,HIT
2026-06-23,CHI@CON,Kennedy Burke,bench,OVER,4.0,5.5,8.0,1.5,HIT
2026-06-23,CHI@CON,Raegan Beers,bench,OVER,4.0,4.8,4.0,0.8,MISS
2026-06-23,CHI@CON,Nell Angloma,bench,OVER,4.0,5.0,1.0,1.0,MISS
2026-06-23,CHI@CON,Gianna Kneepkens,bench,OVER,3.0,4.5,4.0,1.5,HIT
2026-06-23,PHX@IND,Alyssa Thomas,starters,OVER,7.0,8.3,19.0,1.3,HIT
