date,league,matchup,team,player,role,stat,season_avg,minutes_proj,tc_projection,market_line,edge,side
2026-06-02,WNBA,POR @ GS,POR,Megan Gustafson,START,REB,2.8,22,3.6,2.7,0.9,OVER
2026-06-02,WNBA,POR @ GS,POR,Frieda Buhner,BENCH,PTS,5.3,14,5.89,5.0,0.89,OVER
2026-06-02,WNBA,POR @ GS,POR,Serah Williams,BENCH,PTS,2.9,14,3.36,2.8,0.56,OVER
2026-06-02,WNBA,POR @ GS,POR,Serah Williams,BENCH,REB,3.0,14,3.47,2.8,0.67,OVER
2026-06-02,WNBA,POR @ GS,POR,Jordan Harrison,BENCH,PTS,4.0,14,5.09,3.8,1.29,OVER
2026-06-02,WNBA,POR @ GS,POR,Jordan Harrison,BENCH,AST,4.0,14,5.09,3.8,1.29,OVER
2026-06-02,WNBA,LV @ LA,LA,Kelsey Plum,START,PTS,26.8,22,16.75,25.5,-8.75,UNDER
2026-06-02,WNBA,LV @ LA,LA,Kelsey Plum,START,REB,1.8,22,1.12,1.7,-0.58,UNDER
2026-06-02,WNBA,LV @ LA,LA,Kelsey Plum,START,AST,6.3,22,3.94,6.0,-2.06,UNDER
2026-06-02,WNBA,LV @ LA,LA,Kelsey Plum,START,3PM,3.3,22,2.06,3.1,-1.04,UNDER
2026-06-02,WNBA,LV @ LA,LA,Nneka Ogwumike,START,PTS,15.7,22,10.83,14.9,-4.07,UNDER
2026-06-02,WNBA,LV @ LA,LA,Nneka Ogwumike,START,REB,6.7,22,4.62,6.4,-1.78,UNDER
2026-06-02,WNBA,LV @ LA,LA,Nneka Ogwumike,START,AST,2.0,22,1.38,1.9,-0.52,UNDER
2026-06-02,WNBA,LV @ LA,LA,Dearica Hamby,START,PTS,17.0,22,12.22,16.1,-3.88,UNDER
2026-06-02,WNBA,LV @ LA,LA,Dearica Hamby,START,REB,7.9,22,5.68,7.5,-1.82,UNDER
2026-06-02,WNBA,LV @ LA,LA,Dearica Hamby,START,AST,3.4,22,2.44,3.2,-0.76,UNDER
2026-06-02,WNBA,LV @ LA,LA,Erica Wheeler,START,PTS,8.4,22,6.51,8.0,-1.49,UNDER
2026-06-02,WNBA,LV @ LA,LA,Erica Wheeler,START,AST,5.4,22,4.18,5.1,-0.92,UNDER
2026-06-02,WNBA,LV @ LA,LA,Ariel Atkins,START,PTS,9.3,22,7.52,8.8,-1.28,UNDER
2026-06-02,WNBA,LV @ LA,LA,Rae Burrell,START,PTS,9.0,22,7.33,8.5,-1.17,UNDER
2026-06-02,WNBA,LV @ LA,LA,Cameron Brink,START,PTS,9.3,22,11.69,8.8,2.89,OVER
2026-06-02,WNBA,LV @ LA,LA,Cameron Brink,START,REB,4.0,22,5.03,3.8,1.23,OVER
2026-06-02,WNBA,LV @ LA,LA,Chance Gray,BENCH,PTS,2.6,14,3.5,2.5,1.0,OVER
