2026-06-16,MLB,KC@WSH,KC,Carter Jensen,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Carter Jensen,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Carter Jensen,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Maikel Garcia,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Maikel Garcia,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Maikel Garcia,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Bobby Witt Jr.,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Bobby Witt Jr.,,ACTIVE,hits,UNDER,1.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Bobby Witt Jr.,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Bobby Witt Jr.,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Bobby Witt Jr.,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Isaac Collins,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Isaac Collins,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Isaac Collins,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Lane Thomas,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Lane Thomas,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Lane Thomas,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Lane Thomas,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Salvador Perez,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Nick Loftin,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Nick Loftin,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Nick Loftin,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Nick Loftin,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Nick Loftin,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jacob Young,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Luis Garcia Jr.,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Luis Garcia Jr.,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Luis Garcia Jr.,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Daylen Lile,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Daylen Lile,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Daylen Lile,,ACTIVE,total_bases,UNDER,1.5,1.5,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Daylen Lile,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,CJ Abrams,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,CJ Abrams,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jorbit Vivas,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jorbit Vivas,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jorbit Vivas,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jorbit Vivas,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jorbit Vivas,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,James Wood,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,James Wood,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Vladimir Guerrero Jr.,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Vladimir Guerrero Jr.,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Jarren Duran,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Jarren Duran,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,total_bases,UNDER,1.5,1.1,,-0.4,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Davis Schneider,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Davis Schneider,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Vladimir Guerrero Jr.,,ACTIVE,rbi,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,walks,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Willson Contreras,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Willson Contreras,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Isiah Kiner-Falefa,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Isiah Kiner-Falefa,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
