actual,date,direction,edge,league,market_line,matched_player,matchup,player,raw_average,result,role,source,stat,status,tc_projection,tc_target,team,threshold,threshold_used
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Kelsey Plum,0.9,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.8,0,LA,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Dearica Hamby,1.1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LA,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Erica Wheeler,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,LA,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Erica Wheeler,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LA,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Kate Martin,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,LA,0.8,
9,2026-06-03,OVER,2.1,WNBA,,Kiki Rice,TOR@NY,Kiki Rice,13.1,MISS,START,live_roster_api,PTS,ACTIVE,11.1,9,TOR,2,9.434999999999999
0,2026-06-03,OVER,0.9,WNBA,,Kiki Rice,TOR@NY,Kiki Rice,1,MISS,START,live_roster_api,3PM,ACTIVE,0.9,0,TOR,0.8,0.765
0,2026-06-03,OVER,0.9,WNBA,,Kiki Rice,TOR@NY,Kiki Rice,1.1,MISS,START,live_roster_api,STL,ACTIVE,0.9,0,TOR,0.8,0.765
3,2026-06-03,OVER,1.1,WNBA,,Brittney Sykes,TOR@NY,Brittney Sykes,1.3,HIT,START,live_roster_api,STL,ACTIVE,1.1,0,TOR,0.8,0.935
0,2026-06-03,OVER,0.8,WNBA,,Marina Mabrey,TOR@NY,Marina Mabrey,0.9,MISS,START,live_roster_api,STL,ACTIVE,0.8,0,TOR,0.8,0.68
1,2026-06-03,OVER,0.9,WNBA,,Julie Allemand,TOR@NY,Julie Allemand,1,HIT,START,live_roster_api,3PM,ACTIVE,0.9,0,TOR,0.8,0.765
2,2026-06-03,OVER,0.9,WNBA,,Julie Allemand,TOR@NY,Julie Allemand,1.1,HIT,START,live_roster_api,STL,ACTIVE,0.9,0,TOR,0.8,0.765
1,2026-06-03,OVER,1,WNBA,,Laura Juskaite,TOR@NY,Laura Juskaite,1.2,HIT,BENCH,live_roster_api,3PM,ACTIVE,1,0,TOR,0.8,0.85
2,2026-06-03,OVER,0.9,WNBA,,Laura Juskaite,TOR@NY,Laura Juskaite,1,HIT,BENCH,live_roster_api,STL,ACTIVE,0.9,0,TOR,0.8,0.765
19,2026-06-03,OVER,2.3,WNBA,,Breanna Stewart,TOR@NY,Breanna Stewart,20.4,HIT,START,live_roster_api,PTS,ACTIVE,17.3,15,NY,2,14.705
,2026-06-03,OVER,2.2,WNBA,,,TOR@NY,Sabrina Ionescu,16.7,NO_ACTUAL,START,live_roster_api,PTS,ACTIVE,14.2,12,NY,2,
,2026-06-03,OVER,1.1,WNBA,,,TOR@NY,Sabrina Ionescu,2.5,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,2.1,1,NY,0.8,
,2026-06-03,OVER,0.9,WNBA,,,TOR@NY,Sabrina Ionescu,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,NY,0.8,
12,2026-06-03,OVER,2.3,WNBA,,Satou Sabally,TOR@NY,Satou Sabally,15.7,HIT,START,live_roster_api,PTS,ACTIVE,13.3,11,NY,2,11.305
5,2026-06-03,OVER,1.6,WNBA,,Satou Sabally,TOR@NY,Satou Sabally,6.6,HIT,START,live_roster_api,REB,ACTIVE,5.6,4,NY,1.5,4.76
0,2026-06-03,OVER,0.9,WNBA,,Satou Sabally,TOR@NY,Satou Sabally,1.1,MISS,START,live_roster_api,STL,ACTIVE,0.9,0,NY,0.8,0.765
22,2026-06-03,OVER,2.3,WNBA,,Jonquel Jones,TOR@NY,Jonquel Jones,13.3,HIT,START,live_roster_api,PTS,ACTIVE,11.3,9,NY,2,9.605
4,2026-06-03,OVER,1,WNBA,,Jonquel Jones,TOR@NY,Jonquel Jones,1.2,HIT,START,live_roster_api,3PM,ACTIVE,1,0,NY,0.8,0.85
2,2026-06-03,OVER,1.1,WNBA,,Jonquel Jones,TOR@NY,Jonquel Jones,1.3,HIT,START,live_roster_api,BLK,ACTIVE,1.1,0,NY,0.8,0.935
10,2026-06-03,OVER,2.2,WNBA,,Pauline Astier,TOR@NY,Pauline Astier,12,HIT,START,live_roster_api,PTS,ACTIVE,10.2,8,NY,2,8.67
2,2026-06-03,OVER,0.8,WNBA,,Pauline Astier,TOR@NY,Pauline Astier,0.9,HIT,START,live_roster_api,3PM,ACTIVE,0.8,0,NY,0.8,0.68
0,2026-06-03,OVER,0.8,WNBA,,Betnijah Laney-Hamilton,TOR@NY,Betnijah Laney-Hamilton,0.9,MISS,BENCH,live_roster_api,3PM,ACTIVE,0.8,0,NY,0.8,0.68
1,2026-06-03,OVER,0.8,WNBA,,Betnijah Laney-Hamilton,TOR@NY,Betnijah Laney-Hamilton,0.9,HIT,BENCH,live_roster_api,STL,ACTIVE,0.8,0,NY,0.8,0.68
0,2026-06-03,OVER,0.8,WNBA,,Leonie Fiebich,TOR@NY,Leonie Fiebich,0.9,MISS,BENCH,live_roster_api,STL,ACTIVE,0.8,0,NY,0.8,0.68
,2026-06-03,OVER,0.9,WNBA,,,TOR@NY,Rebecca Allen,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,NY,0.8,
1,2026-06-03,OVER,0.8,WNBA,,Rebekah Gardner,TOR@NY,Rebekah Gardner,0.9,HIT,BENCH,live_roster_api,STL,ACTIVE,0.8,0,NY,0.8,0.68
,2026-06-03,OVER,1.5,WNBA,,,PHX@SEA,Alyssa Thomas,7.6,NO_ACTUAL,START,live_roster_api,REB,ACTIVE,6.5,5,PHX,1.5,
,2026-06-03,OVER,2.3,WNBA,,,PHX@SEA,DeWanna Bonner,14.5,NO_ACTUAL,START,live_roster_api,PTS,ACTIVE,12.3,10,PHX,2,
,2026-06-03,OVER,1,WNBA,,,PHX@SEA,DeWanna Bonner,1.2,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1,0,PHX,0.8,
,2026-06-03,OVER,1,WNBA,,,PHX@SEA,DeWanna Bonner,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,PHX,0.8,
,2026-06-03,OVER,2,WNBA,,,PHX@SEA,Kahleah Copper,13,NO_ACTUAL,START,live_roster_api,PTS,ACTIVE,11,9,PHX,2,
