name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
DH  José Tena,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.23,10.0,-9.77,UNDER,DH  José Tena shows UNDER value at 10.0 RBI. TC projection: 0.2 — edge: 9.77. Strong conviction based on usage rate and defensive matchup.,José Tena,0.23,0.0,
RF  James Wood,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.23,10.0,-9.77,UNDER,RF  James Wood shows UNDER value at 10.0 HR. TC projection: 0.2 — edge: 9.77. Strong conviction based on usage rate and defensive matchup.,James Wood,0.23,0.0,
3B  Jorbit Vivas,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.24,10.0,-9.76,UNDER,"Strong +EV opportunity: 3B  Jorbit Vivas is projected for 0.2 BB vs a line of 10.0, giving a UNDER edge of 9.76. Based on recent form, opponent matchup, and game context.",Jorbit Vivas,0.24,0.0,
C   Keibert Ruiz,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.25,10.0,-9.75,UNDER,Targeting C   Keibert Ruiz UNDER 10.0 2B. Model projects 0.2 (9.75 edge). Recent trends and opponent weakness support this play.,Keibert Ruiz,0.25,0.0,
3B  Jorbit Vivas,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.26,10.0,-9.74,UNDER,Targeting 3B  Jorbit Vivas UNDER 10.0 R. Model projects 0.3 (9.74 edge). Recent trends and opponent weakness support this play.,Jorbit Vivas,0.26,0.0,
2B  Nasim Nuñez,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.27,10.0,-9.73,UNDER,Targeting 2B  Nasim Nuñez UNDER 10.0 RBI. Model projects 0.3 (9.73 edge). Recent trends and opponent weakness support this play.,Nasim Nuñez,0.27,0.0,
1B  Andrés Chaparro,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.29,10.0,-9.71,UNDER,Targeting 1B  Andrés Chaparro UNDER 10.0 BB. Model projects 0.3 (9.71 edge). Recent trends and opponent weakness support this play.,Andrés Chaparro,0.29,0.0,
DH  José Tena,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.3,10.0,-9.7,UNDER,Targeting DH  José Tena UNDER 10.0 R. Model projects 0.3 (9.70 edge). Recent trends and opponent weakness support this play.,José Tena,0.3,0.0,
CF  Jacob Young,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.31,10.0,-9.69,UNDER,Targeting CF  Jacob Young UNDER 10.0 RBI. Model projects 0.3 (9.69 edge). Recent trends and opponent weakness support this play.,Jacob Young,0.31,0.0,
2B  Nasim Nuñez,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.31,10.0,-9.69,UNDER,Targeting 2B  Nasim Nuñez UNDER 10.0 BB. Model projects 0.3 (9.69 edge). Recent trends and opponent weakness support this play.,Nasim Nuñez,0.31,0.0,
