name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
C   Jimmy Crooks,St. Louis Cardinals,mlb,H,Cincinnati_Reds_at_St_Louis_Cardinals,0.39,8.5,-8.11,UNDER,"Strong +EV opportunity: C   Jimmy Crooks is projected for 0.4 H vs a line of 8.5, giving a UNDER edge of 8.11. Based on recent form, opponent matchup, and game context.",Jimmy Crooks,0.39,0.0,
CF  Jackson Merrill,San Diego Padres,mlb,R,San_Diego_Padres_at_Miami_Marlins,0.39,8.5,-8.11,UNDER,Targeting CF  Jackson Merrill UNDER 8.5 R. Model projects 0.4 (8.11 edge). Recent trends and opponent weakness support this play.,Jackson Merrill,0.39,0.0,
LF  Lars Nootbaar,St. Louis Cardinals,mlb,R,Cincinnati_Reds_at_St_Louis_Cardinals,0.4,8.5,-8.1,UNDER,Targeting LF  Lars Nootbaar UNDER 8.5 R. Model projects 0.4 (8.10 edge). Recent trends and opponent weakness support this play.,Lars Nootbaar,0.4,0.0,
SS  Xander Bogaerts,San Diego Padres,mlb,BB,San_Diego_Padres_at_Miami_Marlins,0.4,8.5,-8.1,UNDER,"Strong +EV opportunity: SS  Xander Bogaerts is projected for 0.4 BB vs a line of 8.5, giving a UNDER edge of 8.10. Based on recent form, opponent matchup, and game context.",Xander Bogaerts,0.4,0.0,
3B  Manny Machado,San Diego Padres,mlb,BB,San_Diego_Padres_at_Miami_Marlins,0.4,8.5,-8.1,UNDER,"Strong +EV opportunity: 3B  Manny Machado is projected for 0.4 BB vs a line of 8.5, giving a UNDER edge of 8.10. Based on recent form, opponent matchup, and game context.",Manny Machado,0.4,0.0,
3B  Alex Bregman,Chicago Cubs,mlb,R,Chicago_Cubs_at_Pittsburgh_Pirates,0.41,8.5,-8.09,UNDER,Targeting 3B  Alex Bregman UNDER 8.5 R. Model projects 0.4 (8.09 edge). Recent trends and opponent weakness support this play.,Alex Bregman,0.41,0.0,
1B  Freddie Freeman,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.92,9.0,-8.08,UNDER,1B  Freddie Freeman shows UNDER value at 9.0 H. TC projection: 0.9 — edge: 8.08. Strong conviction based on usage rate and defensive matchup.,Freddie Freeman,0.92,0.0,
RF  Seiya Suzuki,Chicago Cubs,mlb,BB,Chicago_Cubs_at_Pittsburgh_Pirates,0.42,8.5,-8.08,UNDER,"Strong +EV opportunity: RF  Seiya Suzuki is projected for 0.4 BB vs a line of 8.5, giving a UNDER edge of 8.08. Based on recent form, opponent matchup, and game context.",Seiya Suzuki,0.42,0.0,
LF  Nelson Velázquez,St. Louis Cardinals,mlb,H,Cincinnati_Reds_at_St_Louis_Cardinals,0.42,8.5,-8.08,UNDER,Targeting LF  Nelson Velázquez UNDER 8.5 H. Model projects 0.4 (8.08 edge). Recent trends and opponent weakness support this play.,Nelson Velázquez,0.42,0.0,
RF  Fernando Tatis Jr.,San Diego Padres,mlb,R,San_Diego_Padres_at_Miami_Marlins,0.42,8.5,-8.08,UNDER,RF  Fernando Tatis Jr. shows UNDER value at 8.5 R. TC projection: 0.4 — edge: 8.08. Strong conviction based on usage rate and defensive matchup.,Fernando Tatis Jr.,0.42,0.0,
CF  Pete Crow-Armstrong,Chicago Cubs,mlb,BB,Chicago_Cubs_at_Pittsburgh_Pirates,0.43,8.5,-8.07,UNDER,Targeting CF  Pete Crow-Armstrong UNDER 8.5 BB. Model projects 0.4 (8.07 edge). Recent trends and opponent weakness support this play.,Pete Crow-Armstrong,0.43,0.0,
DH  Iván Herrera,St. Louis Cardinals,mlb,BB,Cincinnati_Reds_at_St_Louis_Cardinals,0.43,8.5,-8.07,UNDER,Targeting DH  Iván Herrera UNDER 8.5 BB. Model projects 0.4 (8.07 edge). Recent trends and opponent weakness support this play.,Iván Herrera,0.43,0.0,
3B  Alex Bregman,Chicago Cubs,mlb,BB,Chicago_Cubs_at_Pittsburgh_Pirates,0.43,8.5,-8.07,UNDER,3B  Alex Bregman shows UNDER value at 8.5 BB. TC projection: 0.4 — edge: 8.07. Strong conviction based on usage rate and defensive matchup.,Alex Bregman,0.43,0.0,
3B  Manny Machado,San Diego Padres,mlb,R,San_Diego_Padres_at_Miami_Marlins,0.43,8.5,-8.07,UNDER,3B  Manny Machado shows UNDER value at 8.5 R. TC projection: 0.4 — edge: 8.07. Strong conviction based on usage rate and defensive matchup.,Manny Machado,0.43,0.0,
LF  Lars Nootbaar,St. Louis Cardinals,mlb,BB,Cincinnati_Reds_at_St_Louis_Cardinals,0.44,8.5,-8.06,UNDER,Targeting LF  Lars Nootbaar UNDER 8.5 BB. Model projects 0.4 (8.06 edge). Recent trends and opponent weakness support this play.,Lars Nootbaar,0.44,0.0,
1B  Michael Busch,Chicago Cubs,mlb,RBI,Chicago_Cubs_at_Pittsburgh_Pirates,0.44,8.5,-8.06,UNDER,"Strong +EV opportunity: 1B  Michael Busch is projected for 0.4 RBI vs a line of 8.5, giving a UNDER edge of 8.06. Based on recent form, opponent matchup, and game context.",Michael Busch,0.44,0.0,
DH  Michael Conforto,Chicago Cubs,mlb,H,Chicago_Cubs_at_Pittsburgh_Pirates,0.44,8.5,-8.06,UNDER,Targeting DH  Michael Conforto UNDER 8.5 H. Model projects 0.4 (8.06 edge). Recent trends and opponent weakness support this play.,Michael Conforto,0.44,0.0,
CF  Pete Crow-Armstrong,Chicago Cubs,mlb,RBI,Chicago_Cubs_at_Pittsburgh_Pirates,0.45,8.5,-8.05,UNDER,CF  Pete Crow-Armstrong shows UNDER value at 8.5 RBI. TC projection: 0.5 — edge: 8.05. Strong conviction based on usage rate and defensive matchup.,Pete Crow-Armstrong,0.45,0.0,
1B  Alec Burleson,St. Louis Cardinals,mlb,R,Cincinnati_Reds_at_St_Louis_Cardinals,0.46,8.5,-8.04,UNDER,Targeting 1B  Alec Burleson UNDER 8.5 R. Model projects 0.5 (8.04 edge). Recent trends and opponent weakness support this play.,Alec Burleson,0.46,0.0,
C   Pedro Pagés,St. Louis Cardinals,mlb,H,Cincinnati_Reds_at_St_Louis_Cardinals,0.46,8.5,-8.04,UNDER,Targeting C   Pedro Pagés UNDER 8.5 H. Model projects 0.5 (8.04 edge). Recent trends and opponent weakness support this play.,Pedro Pagés,0.46,0.0,
1B  Ty France,San Diego Padres,mlb,RBI,San_Diego_Padres_at_Miami_Marlins,0.46,8.5,-8.04,UNDER,Targeting 1B  Ty France UNDER 8.5 RBI. Model projects 0.5 (8.04 edge). Recent trends and opponent weakness support this play.,Ty France,0.46,0.0,
LF  Ian Happ,Chicago Cubs,mlb,BB,Chicago_Cubs_at_Pittsburgh_Pirates,0.47,8.5,-8.03,UNDER,LF  Ian Happ shows UNDER value at 8.5 BB. TC projection: 0.5 — edge: 8.03. Strong conviction based on usage rate and defensive matchup.,Ian Happ,0.47,0.0,
C   Miguel Amaya,Chicago Cubs,mlb,H,Chicago_Cubs_at_Pittsburgh_Pirates,0.48,8.5,-8.02,UNDER,Targeting C   Miguel Amaya UNDER 8.5 H. Model projects 0.5 (8.02 edge). Recent trends and opponent weakness support this play.,Miguel Amaya,0.48,0.0,
3B  Manny Machado,San Diego Padres,mlb,RBI,San_Diego_Padres_at_Miami_Marlins,0.49,8.5,-8.01,UNDER,Targeting 3B  Manny Machado UNDER 8.5 RBI. Model projects 0.5 (8.01 edge). Recent trends and opponent weakness support this play.,Manny Machado,0.49,0.0,
SS  Dansby Swanson,Chicago Cubs,mlb,RBI,Chicago_Cubs_at_Pittsburgh_Pirates,0.5,8.5,-8.0,UNDER,Targeting SS  Dansby Swanson UNDER 8.5 RBI. Model projects 0.5 (8.00 edge). Recent trends and opponent weakness support this play.,Dansby Swanson,0.5,0.0,
3B  Denzer Guzman,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting 3B  Denzer Guzman UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Denzer Guzman,0.0,0.0,
DH  Jorge Soler,Los Angeles Angels,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: DH  Jorge Soler is projected for 0.0 SB vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Jorge Soler,0.0,0.0,
CF  Jose Siri,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,CF  Jose Siri shows UNDER value at 8.0 3B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Jose Siri,0.0,0.0,
LF  Josh Lowe,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting LF  Josh Lowe UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Josh Lowe,0.0,0.0,
C   Logan O'Hoppe,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting C   Logan O'Hoppe UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Logan O'Hoppe,0.0,0.0,
C   Logan O'Hoppe,Los Angeles Angels,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: C   Logan O'Hoppe is projected for 0.0 SB vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Logan O'Hoppe,0.0,0.0,
CF  Mike Trout,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting CF  Mike Trout UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Mike Trout,0.0,0.0,
1B  Nolan Schanuel,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: 1B  Nolan Schanuel is projected for 0.0 3B vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Nolan Schanuel,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Ryan Zeferjahn UNDER 8.0 H. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,R,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Ryan Zeferjahn is projected for 0.0 R vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,RBI,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Ryan Zeferjahn UNDER 8.0 RBI. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Ryan Zeferjahn UNDER 8.0 HR. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,2B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Ryan Zeferjahn UNDER 8.0 2B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Ryan Zeferjahn UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,BB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Ryan Zeferjahn UNDER 8.0 BB. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Ryan Zeferjahn,0.0,0.0,
P   Ryan Zeferjahn,Los Angeles Angels,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Ryan Zeferjahn shows UNDER value at 8.0 SB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Ryan Zeferjahn,0.0,0.0,
2B  Vaughn Grissom,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting 2B  Vaughn Grissom UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Vaughn Grissom,0.0,0.0,
2B  Vaughn Grissom,Los Angeles Angels,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: 2B  Vaughn Grissom is projected for 0.0 SB vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Vaughn Grissom,0.0,0.0,
LF  Wade Meckler,Los Angeles Angels,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting LF  Wade Meckler UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Wade Meckler,0.0,0.0,
DH  Bryce Eldridge,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting DH  Bryce Eldridge UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Bryce Eldridge,0.0,0.0,
2B  Christian Koss,San Francisco Giants,mlb,RBI,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,2B  Christian Koss shows UNDER value at 8.0 RBI. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Christian Koss,0.0,0.0,
2B  Christian Koss,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,2B  Christian Koss shows UNDER value at 8.0 HR. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Christian Koss,0.0,0.0,
2B  Christian Koss,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting 2B  Christian Koss UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Christian Koss,0.0,0.0,
2B  Christian Koss,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: 2B  Christian Koss is projected for 0.0 SB vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Christian Koss,0.0,0.0,
C   Daniel Susac,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting C   Daniel Susac UNDER 8.0 HR. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Daniel Susac,0.0,0.0,
C   Drew Cavanaugh,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting C   Drew Cavanaugh UNDER 8.0 HR. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Drew Cavanaugh,0.0,0.0,
C   Drew Cavanaugh,San Francisco Giants,mlb,2B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: C   Drew Cavanaugh is projected for 0.0 2B vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Drew Cavanaugh,0.0,0.0,
C   Drew Cavanaugh,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,C   Drew Cavanaugh shows UNDER value at 8.0 3B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Drew Cavanaugh,0.0,0.0,
C   Drew Cavanaugh,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,C   Drew Cavanaugh shows UNDER value at 8.0 SB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Drew Cavanaugh,0.0,0.0,
CF  Drew Gilbert,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,CF  Drew Gilbert shows UNDER value at 8.0 SB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Drew Gilbert,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Dylan Smith is projected for 0.0 H vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,R,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Dylan Smith UNDER 8.0 R. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,RBI,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Dylan Smith shows UNDER value at 8.0 RBI. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Dylan Smith shows UNDER value at 8.0 HR. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,2B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Dylan Smith UNDER 8.0 2B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Dylan Smith shows UNDER value at 8.0 3B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,BB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Dylan Smith shows UNDER value at 8.0 BB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Dylan Smith,0.0,0.0,
P   Dylan Smith,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Dylan Smith shows UNDER value at 8.0 SB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Dylan Smith,0.0,0.0,
CF  Grant McCray,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: CF  Grant McCray is projected for 0.0 H vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Grant McCray,0.0,0.0,
CF  Grant McCray,San Francisco Giants,mlb,RBI,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting CF  Grant McCray UNDER 8.0 RBI. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Grant McCray,0.0,0.0,
CF  Grant McCray,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting CF  Grant McCray UNDER 8.0 HR. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Grant McCray,0.0,0.0,
CF  Grant McCray,San Francisco Giants,mlb,2B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,CF  Grant McCray shows UNDER value at 8.0 2B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Grant McCray,0.0,0.0,
CF  Grant McCray,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting CF  Grant McCray UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Grant McCray,0.0,0.0,
CF  Grant McCray,San Francisco Giants,mlb,BB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,CF  Grant McCray shows UNDER value at 8.0 BB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Grant McCray,0.0,0.0,
LF  Heliot Ramos,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting LF  Heliot Ramos UNDER 8.0 SB. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Heliot Ramos,0.0,0.0,
C   Jesus Rodriguez,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,C   Jesus Rodriguez shows UNDER value at 8.0 3B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Jesus Rodriguez,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Keaton Winn UNDER 8.0 H. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,R,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Keaton Winn UNDER 8.0 R. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,RBI,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Keaton Winn shows UNDER value at 8.0 RBI. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Keaton Winn is projected for 0.0 HR vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,2B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Keaton Winn shows UNDER value at 8.0 2B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Keaton Winn UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,BB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Keaton Winn shows UNDER value at 8.0 BB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Keaton Winn,0.0,0.0,
P   Keaton Winn,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Keaton Winn shows UNDER value at 8.0 SB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Keaton Winn,0.0,0.0,
1B  Rafael Devers,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,1B  Rafael Devers shows UNDER value at 8.0 SB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Rafael Devers,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Sam Hentges is projected for 0.0 H vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,R,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Sam Hentges is projected for 0.0 R vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,RBI,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Sam Hentges is projected for 0.0 RBI vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,HR,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Sam Hentges shows UNDER value at 8.0 HR. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,2B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Sam Hentges shows UNDER value at 8.0 2B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,3B,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,Targeting P   Sam Hentges UNDER 8.0 3B. Model projects 0.0 (8.00 edge). Recent trends and opponent weakness support this play.,Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,BB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,P   Sam Hentges shows UNDER value at 8.0 BB. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Sam Hentges,0.0,0.0,
P   Sam Hentges,San Francisco Giants,mlb,SB,Los_Angeles_Angels_at_San_Francisco_Giants,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: P   Sam Hentges is projected for 0.0 SB vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Sam Hentges,0.0,0.0,
C   Ali Sánchez,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.0,8.0,-8.0,UNDER,"Strong +EV opportunity: C   Ali Sánchez is projected for 0.0 HR vs a line of 8.0, giving a UNDER edge of 8.00. Based on recent form, opponent matchup, and game context.",Ali Sánchez,0.0,0.0,
C   Ali Sánchez,New York Yankees,mlb,3B,New_York_Yankees_at_Philadelphia_Phillies,0.0,8.0,-8.0,UNDER,C   Ali Sánchez shows UNDER value at 8.0 3B. TC projection: 0.0 — edge: 8.00. Strong conviction based on usage rate and defensive matchup.,Ali Sánchez,0.0,0.0,
