date,matchup,player,stat,direction,line,odds,book,espn_event_id,result,actual,stat_key
20260613,SCO @ HAI,Danley Jean Jacques,assists,Over,0.5,750,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Danley Jean Jacques,shots,Over,2.0,320,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Danley Jean Jacques,shots_on_target,Over,2.0,2200,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Duckens Nazon,assists,Over,0.5,750,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Duckens Nazon,shots,Over,5.0,1200,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Duckens Nazon,shots_on_target,Over,3.0,2000,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,John Souttar,assists,Over,0.5,800,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,John Souttar,shots,Over,2.0,550,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,John Souttar,shots_on_target,Over,2.0,3000,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Scott McKenna,assists,Over,0.5,850,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Scott McKenna,shots,Over,2.0,550,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Scott McKenna,shots_on_target,Over,1.0,340,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Wilson Isidor,assists,Over,0.5,1100,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Wilson Isidor,shots,Over,5.0,1000,fanduel,760418,MISS,2.0,totalShots
20260613,SCO @ HAI,Wilson Isidor,shots_on_target,Over,3.0,1700,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Hannes Delcroix,assists,Over,0.5,1700,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Hannes Delcroix,shots,Over,1.0,185,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Hannes Delcroix,shots_on_target,Over,1.0,750,fanduel,760418,MISS,0.0,shotsOnTarget
